Tapir, 7.3, 0.10939, 2.3, 0, 2, 0.0460
Basil, 30.7, 0.4385, 11.7, 0.030, 10, 0.086
TxHotstuff, 73.1, 1.929, 42.6, 0.60209, 48.9, 0.3139
TxBFTsmart, 59.4, 0.733, 18.7, 0.3286, 23.3, 0.529
